input,output
it is called ssjabroka to us it is a potent narcotic,how potent
we youve taken it,we all did
we all did,where did he get it was there any of it on the ship
where did he get it was there any of it on the ship,no i am sure not that is why i am so concerned someone must now be producing it here but none of my people know how to make it the process was carefully guarded
no i am sure not that is why i am so concerned someone must now be producing it here but none of my people know how to make it the process was carefully guarded,jesus this is major why didnt you tell me sooner whyd you hold out on me
jesus this is major why didnt you tell me sooner whyd you hold out on me,your people dont know about this part of out past and they cant know it would threaten our entire existence here
george look me in the eye george you dont ever lie to me again,i must trust you matthew i cannot stop this without you
they had months in quarantine to develop the plan porter with his chemistry background must have somehow come up with the formula for the drug hubley manufactured it at the refinery strader through the nightclub established a distribution network and harcourt,harcourt was the brain who brought it all together
okay george we gotta play this real smart,if the drug is here we must destroy it
if the drug is here we must destroy it,no george youre missing the point the drug is evidence we need to have the evidence ya know
uh george,where is the drug where have they taken it
george uh youre gonna break his little chest bones,stay out of this matthew tell me where the drug has been taken or i will crush your lungs against this wall
george cmon lighten up its a beauty of a case dont sweat it we got him by the short hairs he aint gonna make any more of the shit,the fifty kilos matthew i have to find it i cant let it get out on the street
the fifty kilos matthew i have to find it i cant let it get out on the street,why whats the big goddamn deal
shit,ssai
with harcourt and kipling dead i assume you will be requesting reassignment now,itd be for your own good i think youd be better off with a partner whos a little more by the book still i gotta tell you george for a quiet guy youre sure hell on wheels once you get going id kinda hate to miss your next two days as a detective
whats this about george i know that look,there go back down that side street
no we must do this alone,do what george
what is this,its harcourt
its harcourt,harcourt is dead
harcourt is dead,no hes not not if he overdosed on the drug massive amounts trigger a a change your body functions seize up you appear to be dead but its really a state of incubation when you emerge youre
no hes not not if he overdosed on the drug massive amounts trigger a a change your body functions seize up you appear to be dead but its really a state of incubation when you emerge youre,tell me about it
i never thought id say this but for once in my life i think im willing to wait for backup,we cant let him get away
we cant let him get away,why the hell are you so dead set against backup
why the hell are you so dead set against backup,because because of what will happen if humans see what we are capable of becoming
because because of what will happen if humans see what we are capable of becoming,but theres no more drug
but theres no more drug,you understand that but how many others will
how do i look,you look very good
you said you wanted the biggest thing i could find well this is it,what is it
what is it,casull magnum youre talking twice the impact energy of magnum hot loads
casull magnum youre talking twice the impact energy of magnum hot loads,only holds five
only holds five,yeah the shells are too big for six in an cylinder hell matt you dont need but one
yeah the shells are too big for six in an cylinder hell matt you dont need but one,no two
mr hubley was an all right guy and a damn good manager the men liked him im really gonna have to scramble to fill his shoes,well one of the men didnt like him so much
you think this is the guy who did it,we think he coulda been involved yeah you know him
we think he coulda been involved yeah you know him,to be honest its hard to say i hate to admit it but they all still kinda look alike to me
to be honest its hard to say i hate to admit it but they all still kinda look alike to me,who else can i ask around here
who else can i ask around here,wait you know who it looks like yeah anderson uh james anderson he isnt in today he took the afternoon off
wait you know who it looks like yeah anderson uh james anderson he isnt in today he took the afternoon off,i think youre gonna find hes taken the rest of his life off
that where anderson worked,yes it is thirtyfive percent pure methane gas in there i dont know how these fellas do it
dont piss him off oneal when he gets like this i cant control him ive seen this before he got like this once i saw him jerk a guys spine out and show it to him nothing i could do i hadda go throw up,they took the stuff out all of it this afternoon
heres hubley left quarantine on november thirtieth relocated first to riverside then moved to los angeles early in february the following year field of expertise chemical manufacturing looks like he passed up several other better paying jobs waiting for that one at the refinery,try joshua strader will ya darlin
try joshua strader will ya darlin,for you anything
released december one he and his wife moved first to modesto then coalinga california wherever that is settled in la in april field of expertise organic chemical engineering he and his wife have one child a son,yeah we met him wonderful boy close personal friend of georges here
yeah we met him wonderful boy close personal friend of georges here,im sorry matt nothing here seems to be matching up
can you dig up their quarantine records in this thing,sure just a minute
jesus are the questions too tough for you already lets try again is your name porter,sskyata
sskyata,whats that
one of the two men was hubley right what about the other one did you know him,yeah i seen him around high roller dude named strader joshua strader runs a club on the west side encounters
yeah i seen him around high roller dude named strader joshua strader runs a club on the west side encounters,yeah i heard of it
yeah i heard of it,thats all i know you want anything more you ask somebody else
you know ive been over all this with fedorchuk and alterez this morning,come on you got nothin better to do cushy county job like yours
yeah right dont push your luck anyway according to the sheet the guy you nailed outside by the car,the human
the human,yeah he was one martin helder white male twentyseven lets see wrap sheet shows one armed robbery conviction a couple for sale of a controlled substance oh yeah and he was wired on coke when you stopped his clock
no id on him and well you know no fingerprints so it could be tough your buddies this morning went through the mug book but couldnt make a facial match,fedorchuk couldnt find his ass with his hands in his back pockets
you took this gut out too didnt you,yeah
yeah,lucky for you you got him in both of his well what we loosely refer to as hearts
lucky for you you got him in both of his well what we loosely refer to as hearts,lucky nothing i had to empty my damn gun into him
lucky nothing i had to empty my damn gun into him,thats the way these people are you dont hit both pumps you just piss them off
oh heres an extra headshot if you need one were just about to start cutting in youre welcome to stick around if you want its really fascinating stuff,yeah ill bet
you guys finished the postmortem on strader yet,you mean the blob theyre finishing up now
what kind of test,looking for some foreign compound in the blood of that alien you dropped the other day
looking for some foreign compound in the blood of that alien you dropped the other day,did he find anything
yeah sykes,captain id like to volunteer for duty with the new detective
you are to have nothing to do with the investigation into bill tuggles death you know that leave that for fedorchuk,departmental policy
departmental policy,you
granger and pitts are already on it,granger and pitts have one hell of a caseload and i would have thought with jetson here being the first newcomer plainclothes and hubleys body being found over in the newcomer community
granger and pitts have one hell of a caseload and i would have thought with jetson here being the first newcomer plainclothes and hubleys body being found over in the newcomer community,dont tell me what to think
hope their plumbings the same,it is
how can i go,put on your washandwear suit and your clipon tie have your landlady tie your shoes for you and show up at the church simple me and carol are going
put on your washandwear suit and your clipon tie have your landlady tie your shoes for you and show up at the church simple me and carol are going,what
what,hey look weve known kristin since since she was conceived in that cabin up in big bear remember you and edie banged the wall so hard me and carol were picking plaster out of our hair for a week
hey look weve known kristin since since she was conceived in that cabin up in big bear remember you and edie banged the wall so hard me and carol were picking plaster out of our hair for a week,goddammit tug i want to see kristin get married okay but
goddammit tug i want to see kristin get married okay but,but youre bummed because your ex and her new husband are paying for the whole thing
but youre bummed because your ex and her new husband are paying for the whole thing,shit if kristin had to get married where i could afford it wed be holding the reception at buddys burgers
does that look at all suspicious to you,whatever gave you that idea
you got your vest,of course right in the trunk of the car
of course right in the trunk of the car,yeah thats comforting mine too
watch the driver im going for a better angle on the door,i got him dont get pinned
get outta there,i cant do you mind
i cant do you mind,ill cover you get outta there
this floors freezing,christ i never saw such a buncha old women you want me to fetch your slippers hudson
christ i never saw such a buncha old women you want me to fetch your slippers hudson,would you sir
whoooah no shit im impressed,lets golets go cycle through
hey top whats the op,rescue mission theres some juicy colonists daughters we gotta rescue from virginity
movement,position
position,cant lock up
cant lock up,talk to me hudson
talk to me hudson,uh seems to be in front and behind
thats better pan it around a bit,awright fireteam a gear up lets move two minutes somebody wake up hicks
okay lets do it,awright i want a nice clean dispersal this time
set down sixty meters this side of the telemetry mast immediate dust off on my clear then stay on station,ten seconds people look sharp
first squad up on line hicks get yours in a cordon watch the rear,vasquez take point lets move
flameunits only i want rifles slung,lets go pull em out
uhapone i want you to lay down a suppressing fire with the incinerators and fall back by squads to the apc over,say again all after incinerators
ive isolated a neuromuscular toxin responsible for the paralysis it seems to be metabolizing he should wake up soon,now let me get this straight the aliens paralyzed the colonists carried them over there cocooned them to be hosts for more of those
which would mean lots of those parasites right one for each personover a hundred at least,yes that follows
yes that follows,but these things come from eggsso where are all the eggs coming from
but these things come from eggsso where are all the eggs coming from,that is the question of the hour we could assume a parallel to certain insect forms who have hivelike organization an ant of termite colony for example is ruled by a single female a queen which is the source of new eggs
that is the question of the hour we could assume a parallel to certain insect forms who have hivelike organization an ant of termite colony for example is ruled by a single female a queen which is the source of new eggs,youre saying one of those things lays all the eggs
youre saying one of those things lays all the eggs,well the queen is always physically larger then the others a termite queens abdomen is so bloated with eggs that it cant move at all it is fed and tended by drone workers defended by the warriors she is the center of their lives quite literally the mother of their society
well the queen is always physically larger then the others a termite queens abdomen is so bloated with eggs that it cant move at all it is fed and tended by drone workers defended by the warriors she is the center of their lives quite literally the mother of their society,could it be intelligent
could it be intelligent,hard to say it may have been blind instinctattraction to the heat of whateverbut she did choose to incubate her eggs in the one spot where we couldnt destroy her without destroying ourselves thats if she exists of course
thats it see it emergency venting,how long until it blows
how long until it blows,im projecting total systems failure in a little under four hours the blast radius will be about thirty kilometers about equal to ten megatons
and its too late to shut it down,im afraid so the crash did too much damage the overload is inevitable at this point
ill go,what
what,im really the only one qualified to remotepilot the ship anyway believe me id prefer not to i may be synthetic but im not stupid
im really the only one qualified to remotepilot the ship anyway believe me id prefer not to i may be synthetic but im not stupid,all right lets get on it whatll you need
its going to be closer you better get going,see you soon
how much time,plenty twentysix minutes
plenty twentysix minutes,were not leaving
ripley,shes alive they brought her here and you know it
shes alive they brought her here and you know it,in seventeen minutes this place will be a cloud of vapor the size of nebraska
you did okay bishop,well thanks i
fiftysevenoh christ,youd drifted right through the core systems its blind luck that deepsalvage team caught you when theyare you all right
have they located my daughter yet,well i was going to wait until after the inquest
is she,amanda ripleymcclaren married name i guess age sixtysix at time of death two years ago im sorry
amy,cancer hmmmm they still havent licked that one cremated interred parkside repository little chute wisconsin no children
you read my depositionits complete and accurate,look i believe you but there are going to be some heavyweights in there you got feds you got interstellar commerce commission you got colonial administration insurance company guys
look i believe you but there are going to be some heavyweights in there you got feds you got interstellar commerce commission you got colonial administration insurance company guys,i get the picture
i get the picture,just tell them what happened the important thing is to stay cool and unemotional
you had them eating out of your hand kiddo,they had their minds made up before i even went in there they think im a head case
they had their minds made up before i even went in there they think im a head case,you are a head case have a donut
no theres no way,hear me out
hear me out,i was reamed steamed and drycleaned by you guysand now you want me to go back out there forget it
what about you whats your interest in this,well the corporation cofinanced that colony with the colonial administration against mineral rights were getting into a lot of terraformingbuilding better worlds
yeah yeah i saw the commercial,i heard you were working in the cargo docks
i heard you were working in the cargo docks,thats right
thats right,running loaders forklifts that sort of thing
running loaders forklifts that sort of thing,its all i could get anyway it keeps my mind off of everything days off are worse
its all i could get anyway it keeps my mind off of everything days off are worse,what if i said i could get you reinstated as a flight officer and that the company has agreed to pick up your contract
what if i said i could get you reinstated as a flight officer and that the company has agreed to pick up your contract,if i go
if i go,if you go its a second chance kiddo and itll be the best thing in the world for you to face this fear and beat it you gotta get back on the horse
if you go its a second chance kiddo and itll be the best thing in the world for you to face this fear and beat it you gotta get back on the horse,spare me burke ive had my psych evaluation this month
yes and ive read it you wake up every night sheets soaking the same nightmare over and over,no the answer is no now please go im sorry just go would you
yello oh ripley hi,burke just tell me one thing that youre going out there to kill them not study not bring back just burn them outclean forever
burke just tell me one thing that youre going out there to kill them not study not bring back just burn them outclean forever,thats the plan my word on it
you never said anything about an android being here why not,well it didnt occur to me its been policy for years to have a synthetic on board
i hope youre right i really do,i suggest you study the disks ripley has been kind enough to prepare for you
that the atmosphere processor,uhhunh one of thirty or so all over the planet theyre completely automated we manufacture them by the way
theyre right under the primary heat exchangers,yeah maybe the organisms like the heat thats why they built
yeah maybe the organisms like the heat thats why they built,thats not what i mean gorman if your men have to use their weapons in there theyll rupture the cooling system
thats not what i mean gorman if your men have to use their weapons in there theyll rupture the cooling system,shes right
no good how do we know itll effect their biochemistry i say we take off and nuke the entire site from orbit its the only way to be sure,now hold on a second im not authorizing that action
now hold on a second im not authorizing that action,why not
well i meani know this is an emotional moment but lets not make snap judgments lets move cautiously first this physical installation had a substantial dollar value attached to it,they can bill me i got a tab running whats second
they can bill me i got a tab running whats second,this is clearly an important species were dealing with here we cant just arbitrarily exterminate them
this is clearly an important species were dealing with here we cant just arbitrarily exterminate them,bullshit
you son of a bitch,dont make me pull rank ripley
dont make me pull rank ripley,what rank i believe corporal hicks has authority here
what rank i believe corporal hicks has authority here,corporal hicks
corporal hicks,this operation is under military jurisdiction and hicks is next in chain of command right
those specimens are worth millions to the bioweapons division now if youre smart we can both come out of this heroes set up for life,you just try getting a dangerous organism past icc quarantine section of the commerce code
you just try getting a dangerous organism past icc quarantine section of the commerce code,youve been doing your homework look they cant impound it if they dont know about it
youve been doing your homework look they cant impound it if they dont know about it,but they will know about it burke from me just like theyll know how you were responsible for the deaths of one hundred and fiftyseven colonists here
but they will know about it burke from me just like theyll know how you were responsible for the deaths of one hundred and fiftyseven colonists here,now wait a second
now wait a second,you sent them to that ship i just checked the colony log directive dates sixtwelveseventynine signed burke carter j
you sent them out there and you didnt even warn them burke why didnt you warn them,look maybe the thing didnt even exist right and if id made it a major security situation the administration wouldve stepped in then no exclusive rights nothing
i expected more of you ripley i thought you would be smarter than this,sorry to disappoint you
look we dont know whats going on out there it may just be a down transmitter but if its not i want you thereas an advisor thats all,you wouldnt be going in with the troops i can guarantee your safety
you wouldnt be going in with the troops i can guarantee your safety,these colonial marines are some tough hombres and theyre packing stateoftheart firepower nothing they cant handleright lieutenant
these colonial marines are some tough hombres and theyre packing stateoftheart firepower nothing they cant handleright lieutenant,were trained to deal with these kinds of situations
still nothing from the colony,dead on all channels
looks like you company can write off its share of this colony,its insured
whats he scanning for,pdts personaldata transmitters every adult colonist had one surgically implanted
were talking thermonuclear explosion,shit apone collect magazines from everybody we cant have any firing in there
how may drops is this for you lieutenant,thirtyeightsimulated
hold at forty slow circle of the complex,the structure seems intact they have power
one of us,aponewhere are your people anybody in dblock
where are your parents you have to try,gorman give it a rest would you
what is it,i dont know
i dont know,proceed inside
so,sothen the fusion containment shuts down
sothen the fusion containment shuts down,so so
get them out of there do it now,shut up just shut up
i told them to fall back,theyre but off do something
how do you feel,all right i guess one hell of a hangover look ripley i
all right i guess one hell of a hangover look ripley i,forget it
at ease im sorry we didnt have time to brief before we left gateway but,sir
sir,yes hicks
yes hicks,hudson sir hes hicks
hudson sir hes hicks,whats the question
whats the question,is this going to be a standup fight sir on another bughunt
is this going to be a standup fight sir on another bughunt,all we know is that theres still no contact with the colony and that a xenomorph may be involved
are there any questions hudson,how do i get out of this chickenshit outfit
all right the areas secured lets go in and see what their computer can tell us first team head for operations hudson see if you can get their cpu on line hicks meet me at the south lock by the uplink tower,were coming in
were coming in,hes coming in i feel safer already
sir the cpu is online,okay stand by in operations lets go
hah stop your grinnin and drop your linen found em,alive
alive,unknown but it looks like all of them over at the processing stationsublevel c under the south tower
were not making that out too well what is it,you tell me i only work here
save it,sure hicks
lets get the fuck out of here,not that tunnel the other one
well thats great thats just fucking great man now what the fuck are we supposed to do man were in some real pretty shit now,are you finished you okay
outstanding then all we needs a deck of cards all right lets move like we got a purpose,ayefirmative
we got problems,i dont fucking believe this do you believe this
maybe we got em demoralized,i want you two walking the perimeter i know were all in strung out shape but stay frosty and alert weve got to stop any entries before they get out of hand
the corner ready,do it
seventeen meters,lets get these things lit
well youre not reading it right,six meters five what the fu
lets go lets go,fuckin a
removed surgically before embryo implantation subject marachuk john l died during procedure they killed him getting it off,poor bastard
how long after were declared overdue can we expect a rescue,about seventeen days
all right theres a fire door at this end the first thing we do is put a remote sentry in the tunnel and seal that door,we gotta figure on them getting into the complex
we gotta figure on them getting into the complex,thats right so we put up welded barricades at these intersections and seal these ducts here and here then they can only come at us from these two corridors and we create a free field of fire for the other two sentry units here
theyre in the approach corridor,on my way
now many,cant tell lots d guns down to twenty ten its out
newt time then can walk right up and knock,but they dont know that theyre probably looking for other ways to get in thatll take them awhile
theyll get us,maybe maybe not
maybe maybe not,hicks im not going to wind up like those others youll take care of it wont you it if comes to that
hicks im not going to wind up like those others youll take care of it wont you it if comes to that,if it comes to that ill do us both lets see that it doesnt here id like to introduce you to a close personal friend of mine
whats this,well thats the grenade launcher you probably dont want to mess with that
well thats the grenade launcher you probably dont want to mess with that,look you started this now show me everything i can handle myself
look you started this now show me everything i can handle myself,yeah ive noticed
wait a minute wed know about it,the only way it would work is if he sabotaged certain freezers on the trip back then he could jettison the bodies and make up any story he liked
you know burke i dont know which species is worse you dont see them screwing each other over for a fucking percentage,lets waste him no offense
its game time,get back here both of you fall back to operations
they learned they cut the power and avoided the guns they must have found another way in something we missed,we didnt miss anything
locked,stand back
no no shes alive we have to,all right shes alive i believe it but we gotta get moving now
hicks dont let him leave,we aint going anywhere
ellen,dont be long ellen
hey vasquezyou ever been mistaken for a man,no have you
somebody said alienshe thought they said illegal alien and signed up,fuck you
fuck you,anytime anywhere
all right we cant blow the fuck out of themwhy not roll some canisters of cn down there nerve gas the whole nest,look man lets just bug out and call it even okay
yeah bullshit watch us,maybe you havent been keeping up on current events but we just got out asses kicked pal
oh man and i was gettin short too four more weeks and out now im gonna buy it on this fuckin rock it aint half fair man,hudson give us a break
its inside the complex,youre just reading me
youre just reading me,no no it aint you theyre inside inside the perimeter theyre in here
sounds like you hicks,the embryo the second form hosts in the victims body for several hours gestating then it then itemerges moults grows rapidly
looks like it stung him,heyhey look crowe and dietrich arent dead man
you cant help them right now theyre being cocooned just like the others,oh god jesus this aint happening
man were not going to make it seventeen hours those things are going to come in here just like they did before man theyre going to come in here and get us man long before,she survived longer than that with no weapons and no training
this service tunnel is how theyre moving back and forth,yeah right it runs from the processing station right into the sublevel here
thanks,uh whats next
we need the other dropship the on one the sulaco we have to bring it down on remote somehow,how the transmitter was on the apc its wasted
how the transmitter was on the apc its wasted,i dont care how think of a way think of something
i dont care how think of a way think of something,think of what were fucked
think of what were fucked,what about the colony transmitter that uplink tower down at the other end why cant we use that
well then somebodys just going to have to go out there take a portable terminal and go out there and plug in manually,oh right right with those things running around no way
they cut the power,what do you mean they cut the power how could they cut the power man theyre animals
this signals weirdmust be some interference or something theres movement all over the place,just get back here
range twenty meters,seal the door
fifteen meters,i dont know an acid hole in a duct something under the floors not on the plans i dont know
twelve meters man this is a big fucking signal ten meters,theyre right on us vasquez how you doing
nine meters eight,cant be thats inside the room
cant be thats inside the room,its readin right look
you remember you sent some wildcatters out to that plateau out past the ilium range a couple days ago,yeah what
yeah what,theres a guy on the horn momandpop survey team says hes homing on something and wants to know if his claim will be honored
theres a guy on the horn momandpop survey team says hes homing on something and wants to know if his claim will be honored,christ some honch in a cushy office on earth says go look at a grid reference in the middle of nowhere we look they dont say why and i dont ask i dont ask because it takes two weeks to get an answer out here and the answers always dont ask
christ some honch in a cushy office on earth says go look at a grid reference in the middle of nowhere we look they dont say why and i dont ask i dont ask because it takes two weeks to get an answer out here and the answers always dont ask,so what do i tell this guy
so what do i tell this guy,tell him as far as im concerned he finds something its his
and how are we today,terrible
terrible,just terrible thats better than yesterday at least
just terrible thats better than yesterday at least,how long have i been on gateway station
how long have i been on gateway station,just a couple of days do you feel up to a visitor
bad dreams again do you want something to help you sleep,no ive slept enough
what did you say,newt my nnames newt nobody calls me rebecca except my dork brother
casey shes my only friend,what about me
i dont want you for a friend,why not
why not,because youll be gone soon like the others like everybody youll be dead and youll leave me alone
theyd be here if they could honey i know they would,theyre dead
theyre dead,newt look at menewt i wont leave you i promise
newt look at menewt i wont leave you i promise,you promise
you promise,cross my heart
cross my heart,and hope to die
i was the best at the game i knew the whole maze,the maze you mean the air ducts
the maze you mean the air ducts,yeah you know in the walls under the floor i was the ace i could hide better than anybody
yeah you know in the walls under the floor i was the ace i could hide better than anybody,youre really something ace
i guess were not leaving right,im sorry newt
im sorry newt,you dont have to be sorry it wasnt your fault
now you just lie here and have a nap youre exhausted,i dont want toi have scary dreams
ripleyshe doesnt have bad dreams because shes just a piece of plastic,oh sorry newt
oh sorry newt,my mommy always said there were no monsters no real ones but there are
yes there are arent there,why do they tell little kids that
well some kids cant handle it like you can,did one of those things grow inside her
i dont know newt thats the truth,isnt that how babies come i mean people babiesthey grow inside you
isnt that how babies come i mean people babiesthey grow inside you,no its different honey
no its different honey,did you ever have a baby
did you ever have a baby,yes a little girl
yes a little girl,where is she
where is she,gone
gone,you mean dead
dont go please,ill be right in the other room newt and looki can see you on that camera right up there
newt newt wake up,wah where are
wah where are,sssh dont move were in trouble
mommyi mean ripleyim scared,i know honey me too
burke open the door,look
come on crawl faster,do you know how to get to the landing field from here
do you know how to get to the landing field from here,sure go left
this way come on were almost there,newt wait
i knew youd come,newt i want you to hang on now hang on tight
mommymommy,right here baby right here
are we going to sleep now,thats right
thats right,can we dream
can we dream,yes honey i think we both can
look i told you,it did not however contain any entries concerning the hostile life form you allegedly picked up
the analysis team which went over your shuttle centimeter by centimeter found no physical evidence of the creature you describe,thats because i blew it out the goddamn airlock like i said
look i can see where this is going but im telling you those things exist back on that planetoid is an alien ship and on that ship are thousands of eggs thousands do you understand i suggest you find it using the flight recorders data find it and deal with it before one of your survey teams comes back with a little surprise,thank you officer ripley that will be
thank you officer ripley that will be,because just one of those things managed to kill my entire crew within twelve hours of hatching
why wont you check out lv,because i dont have to the people who live there checked it out years ago and they never reported and hostile organism or alien ship and by the way they call it acheron now
because i dont have to the people who live there checked it out years ago and they never reported and hostile organism or alien ship and by the way they call it acheron now,what are you talking about what people
how many colonists,sixty maybe seventy families
sixty maybe seventy families,sweet jesus
a sweetheart or a pretty little wife is papagenos wish a willing billing lovey dovey would be my most tasty little dish be my most tasty little dish be my most tasty little dish,then that would be eating and drinking id live like a prince without thinking the wisdom of old would be mine a womans much better than wine then that would be eating and drinking the wisdom of old would be mine a womans much better than wine shes much better than wine shes much better than wine
then that would be eating and drinking id live like a prince without thinking the wisdom of old would be mine a womans much better than wine then that would be eating and drinking the wisdom of old would be mine a womans much better than wine shes much better than wine shes much better than wine,a sweetheart or a pretty little wife is papagenos wish a willing billing lovey dovey would be my most tasty little dish
a sweetheart or a pretty little wife is papagenos wish a willing billing lovey dovey would be my most tasty little dish,i need to net one birdie only and i will stop feeling so lonely but if she wont fly to my aid then into a ghost i must fade i need to net one birdie only but if she wont fly to my aid then into a ghost i must fade to a ghost i must fade to a ghost i must fade
i need to net one birdie only and i will stop feeling so lonely but if she wont fly to my aid then into a ghost i must fade i need to net one birdie only but if she wont fly to my aid then into a ghost i must fade to a ghost i must fade to a ghost i must fade,a sweetheart or a pretty little wife is papagenos wish a willing billing lovey dovey would be my most tasty little dish
a sweetheart or a pretty little wife is papagenos wish a willing billing lovey dovey would be my most tasty little dish,at present the girls only peck me their cruelty surely will wreck me but one little beak in my own and ill up to heaven be flown at present the girls only peck me but one little beak in my own and ill up to heaven be flown up to heaven be flown up to heaven be flown
follow me please the archbishop would like a word,certainly
well i think that went off remarkably well dont you,indeed
indeed,these viennese certainly know good music when they hear it
these viennese certainly know good music when they hear it,his grace is very angry with you
his grace is very angry with you,what do you mean
maestro,good morning
good morning,well how do you like it its turkish my hairdresser tells me everythings going to be turkish this year
well how do you like it its turkish my hairdresser tells me everythings going to be turkish this year,really what else did he tell you today give me some gossip
really what else did he tell you today give me some gossip,well i heard you met herr mozart
well i heard you met herr mozart,oh news travels fast in vienna
oh news travels fast in vienna,and hes been commissioned to write an opera is it true
and hes been commissioned to write an opera is it true,yes
yes,is there a part for me
is there a part for me,no
no,how do you know
how do you know,well even if there is i dont think you want to get involved with this one
well even if there is i dont think you want to get involved with this one,why not
why not,well do you know where its set my dear
well do you know where its set my dear,where
where,in a harem
in a harem,whats that
whats that,a brothel
a brothel,oh
oh,a turkish brothel
a turkish brothel,turkish oh if its turkish thats different i want to be in it
turkish oh if its turkish thats different i want to be in it,my dear it will hardly enhance your reputation to be celebrated throughout vienna as a singing prostitute for a turk
oh well perhaps you could introduce us anyway,perhaps
what does he look like,you might be disappointed
you might be disappointed,why
why,looks and talent dont always go together katherina
looks and talent dont always go together katherina,looks dont concern me maestro only talent interests a woman of taste
did you know had you heard,what
what,the marriage
the marriage,well what does it matter to you
well what does it matter to you,nothing he can marry who he pleases i dont give a damn
how was i tell me honestly,you were sublime
you were sublime,what did you think of the music
what did you think of the music,extremely clever
extremely clever,meaning you didnt like it
katherina ill tell you what im going to do im going to write another aria for you something even more amazing for the second act i have to get some water her mother is lying on the stage,dont bother
dont bother,what
what,dont bother
dont bother,ill be right back
oh excuse me,is her mother still lying on the floor
is her mother still lying on the floor,no shes fine
no shes fine,im so relieved
is she a good fuck,what
what,i assume shes the virtuoso in that department there cant be any other reason youd marry someone like that
no no no no you cant take him away now this is his night wont you introduce us wolfgang,excuse us fraulein good night signore
no i wont have him back,but he needs to be here in salzburg your grace he needs me and he needs you your protection your understanding
but he needs to be here in salzburg your grace he needs me and he needs you your protection your understanding,hardly
hardly,oh sir yes hes about to make the worst mistake of his life some little viennese slut is trying to trick him into marriage i know my son he is too simple to see the trap and there is no one there who really cares for him
oh sir yes hes about to make the worst mistake of his life some little viennese slut is trying to trick him into marriage i know my son he is too simple to see the trap and there is no one there who really cares for him,im not surprised money seems to be more important to him than loyalty or friendship he has sold himself to vienna let vienna look out for him
im not surprised money seems to be more important to him than loyalty or friendship he has sold himself to vienna let vienna look out for him,sir
sir,your son is an unprincipled spoiled conceited brat
your son is an unprincipled spoiled conceited brat,yes sir thats the truth but dont blame him the fault is mine i was too indulgent with him but not again never again i promise i implore you let me bring him back here ill make him give his word to serve you faithfully
yes sir thats the truth but dont blame him the fault is mine i was too indulgent with him but not again never again i promise i implore you let me bring him back here ill make him give his word to serve you faithfully,and how will you make him keep it
and how will you make him keep it,oh sir hes never disobeyed me in anything please your grace give him one more chance
oh sir hes never disobeyed me in anything please your grace give him one more chance,you have leave to try
you have leave to try,oh your grace i thank your grace i thank you
why what sir,why do i have to be humiliated in front of my guests by one of my own servants
why do i have to be humiliated in front of my guests by one of my own servants,humiliated
humiliated,how much provocation am i to endure from you the more license i allow you the more you take
if his grace is not satisfied with me he can dismiss me,i wish you to return immediately to salzburg your father is waiting for you there patiently i will speak to you further when i come
i wish you to return immediately to salzburg your father is waiting for you there patiently i will speak to you further when i come,no your grace i mean with all humility no i would rather you dismissed me its obvious i dont satisfy
no your grace i mean with all humility no i would rather you dismissed me its obvious i dont satisfy,then try harder mozart i have no intention of dismissing you you will remain in my service and learn your place go now
don giovannnnnnnni,who the devil are you what do you want
who the devil are you what do you want,ive come to dinnnnnner
ive come to dinnnnnner,dinner how dare you i am a nobleman i only dine with people of my own height
dinner how dare you i am a nobleman i only dine with people of my own height,are you drunk you invited me and my horse here he is ottavio
in the pot i have got a good dinner not a sausage or stew but a singer not a sausage or stew but a singer is the treat that ill eat for my meat,oh shut up im sick to death of that tune
what is it,i want to go
i want to go,where
where,i want to go back to vienna
i want to go back to vienna,now
now,yes
yes,why
why,i feel wrong i feel wrong being here
i feel wrong i feel wrong being here,what are you talking about
stop it,i am i am im stopping it slowly you see look ive stopped now we are going back
no no no,yes back back listen dont you know where you are
yes back back listen dont you know where you are,where
where,we are in the residence of the fartsbishop of salzburg
we are in the residence of the fartsbishop of salzburg,fartsbishop
your grace ive got something to tell you i want to complain about this man,go ahead tell him tell them all they wont understand you anyway
go ahead tell him tell them all they wont understand you anyway,why not
why not,because here everything goes backwards people walk backwards dance backwards sing backwards and talk backwards
because here everything goes backwards people walk backwards dance backwards sing backwards and talk backwards,thats stupid
thats stupid,why people fart backwards
why people fart backwards,do you think thats funny
do you think thats funny,yes i think its brilliant youve been doing it for years
oh ha ha ha,sraimsick sraim sick
sraimsick sraim sick,yes you are youre very sick
yes you are youre very sick,no no say it backwards shitwit sraimsick say it backwards
no no say it backwards shitwit sraimsick say it backwards,sraimsick sick kiss im my kiss my sraimsick kiss my arse
sraimsick sick kiss im my kiss my sraimsick kiss my arse,em iram em iram
em iram em iram,no im not playing this game
no im not playing this game,no this is serious say it backwards
no this is serious say it backwards,no
no,just say it youll see its very serious em iram em iram
just say it youll see its very serious em iram em iram,iram marry em marry me no no youre a fiend im not going to marry a fiend a dirty fiend at that
iram marry em marry me no no youre a fiend im not going to marry a fiend a dirty fiend at that,uivolitub
uivolitub,tub but itub but i vol love but i love ui you i love you
tishim tee whats that,what
what,tishimtee
tishimtee,eat
eat,yes
yes,eat my ah
excuse me wolfi mama is not feeling very well can we leave now,of course
i think youre mad youre really mad,oh leave me alone
oh leave me alone,one royal pupil and the whole of vienna will come flocking wed be set up for life
